Informative Annex A Product Safety Standards

Adopting Agency	BSC	BSC-CG	SFM	HCD	DSA	OSHPD	DPH
1	2	AC	SS	SS/CC	1	1R	2	3	4	5	
Adopt Entire Article															
Adopt entire Article as amended(amended sections listed below)															
Adopt only those sections that are listed below			X												
Article/Section
Annex A			X												
Annex B			X												

Code

Code

Code

Article	Standard Number	Standard Title
	UL 60079-29-1	Explosive Atmospheres — Part 29-1: Gas Detectors — Performance Requirements of Detectors for Flammable Gases
501	UL 60079-15	Electrical Apparatus for Explosive Gas Atmospheres — Part 15: Type of Protection "n"
	UL 60079-0	Explosive Gas Atmospheres — Part 0: Equipment — General Requirements
	UL 60079-7	Explosive Gas Atmospheres — Part 7: Increased Safety "e"
	UL 60079-1	Explosive Gas Atmospheres — Part 1: Type of Protection — Flameproof "d"
	UL 60079-5	Explosive Gas Atmospheres — Part 5: Type of Protection — Powder Filling "q"
	UL 60079-6	Explosive Gas Atmospheres — Part 6: Type of Protection — Oil Immersion "o"
504	UL 913	Intrinsically Safe Apparatus and Associated Apparatus for Use in Class I, II, and III, Division 1, Hazardous (Classified) Locations
505	UL 60079-11	Explosive Atmospheres — Part 11: Equipment Protection by Intrinsic Safety "i"
	UL 60079-18	Electrical Apparatus for Use in Class I, Zone 1 Hazardous (Classified) Locations Type of Protection — Encapsulation "m"
506	UL 61241-18	Electrical Apparatus for Use in Zone 20, Zone 21, and Zone 22 Hazardous (Classified) Locations — Protection by Encapsulation "mD"
	UL 61241-1	Electrical Apparatus for Use in Zone 21 and Zone 22 Hazardous (Classified) Locations — Protection by Enclosure "tD"
	UL 61241-0	Electrical Apparatus for Use in Zone 20, Zone 21, and Zone 22 Hazardous (Classified) Locations — General Requirements
	UL 61241-11	Electrical Apparatus for Use in Zone 20, Zone 21, and Zone 22 Hazardous (Classified) Locations — Protection by Intrinsic Safety "iD"
	UL 61241-2	Electrical Apparatus for Use in Zone 21 and Zone 22 Hazardous (Classified) Locations — Protection by Pressurization "pD"
511	UL 201	Garage Equipment
	UL 1564	Industrial Battery Chargers
517	UL 1022	Line Isolation Monitors
	UL 1047	Isolated Power Systems Equipment
	UL 60601-1	Medical Electrical Equipment — Part 1: General Requirements for Safety
520	UL Subject 334	Theater Lighting Distribution and Control Equipment
	UL 1573	Stage and Studio Luminaires and Connector Strips
	UL 1640	Portable Power-Distribution Equipment
550	UL Subject 1462	Mobile Home Pipe Heating Cable
551	UL 231	Power Outlets
600	UL 48	Electric Signs
	UL 814	Gas-Tube-Sign Cable
	UL 879	Electric Sign Components
	UL 879A	LED Sign and Sign Retrofit Kits
	UL Subject 879B	Polymeric Enclosure Systems for the Splice Between Neon Tubing Electrode Leads and GTO Cable, and the GTO Cable Leading to the Splice
	UL 2161	Neon Transformers and Power Supplies
604	UL 183	Manufactured Wiring Systems
605	UL 1286	Office Furnishings
	UL 962	Household and Commercial Furnishings
610	UL Subject 2273	Festoon Cable
625	UL 2202	Electric Vehicle (EV) Charging System Equipment
	UL 2231-1	Personnel Protection Systems for Electric Vehicle (EV) Supply Circuits; Part 1: General Requirements
	UL 2231-2	Personnel Protection Systems for Electric Vehicle (EV) Supply Circuits; Part 2: Particular Requirements for Protection Devices for Use in Charging Systems
	UL 2251	Plugs, Receptacles and Couplers for Electrical Vehicles
	UL 2580	Batteries for Use in Electric Vehicles
	UL 2594	Electric Vehicle Supply Equipment
	UL Subject 9741	Bidirectional Electric Vehicle (EV) Charging System Equipment
626	UL 1686	Pin and Sleeve Configurations
630	UL 551	Transformer-Type Arc-Welding Machines
640	UL 813	Commercial Audio Equipment
	UL 1419	Professional Video and Audio Equipment
	UL 1492	Audio-Video Products and Accessories
	UL 1711	Amplifiers for Fire Protective Signaling Systems
	UL 6500	Audio/Video and Musical Instrument Apparatus for Household, Commercial, and Similar General Use
	UL 60065	Audio, Video and Similar Electronic Apparatus — Safety Requirements
	UL 62368-1	Audio/Video, Information and Communication Technology Equipment — Part 1: Safety Requirements
645	UL 1690	Data-Processing Cable
	UL 1778	Uninterruptible Power Systems
	UL 60950-1	Information Technology Equipment Safety — Part 1: General Requirements
	UL 60950-21	Information Technology Equipment Safety — Part 21: Remote Power Feeding
	UL 60950-22	Information Technology Equipment Safety — Part 22: Equipment to be Installed Outdoors
	UL 60950-23	Information Technology Equipment Safety — Part 23: Large Data Storage Equipment
646	UL Subject 2755	Modular Data Centers
670	UL 61800-5-1	Adjustable Speed Electrical Power Drive Systems — Part 5-1: Safety Requirements — Electrical, Thermal and Energy
680	UL 379	Power Units for Fountain, Swimming Pool, and Spa Luminaires
	UL 676	Underwater Luminaires and Submersible Junction Boxes
	UL 676A	Potting Compounds for Swimming Pool, Fountain, and Spa Equipment
	UL 1081	Swimming Pool Pumps, Filters, and Chlorinators
	UL 1241	Isolated Power Systems Equipment
	UL 1261	Electric Water Heaters for Pools and Tubs
	UL 1563	Electric Spas, Equipment Assemblies, and Associated Equipment
	UL 1795	Hydromassage Bathtubs
690	UL 98B	Enclosed and Dead-Front Switches for Use in Photovoltaic Systems
	UL 489B	Molded-Case Circuit Breakers, Molded-Case Switches, and Circuit-Breaker Enclosures for Use with Photovoltaic (PV) Systems
	UL Subject 5081	Manual Disconnect Switches Intended for Use in Photovoltaic Systems
	UL Subject 1699B	Photovoltaic DC Arc-Fault Circuit Protection
	UL 1703	Flat-Plate Photovoltaic Modules and Panels
	UL 1741	Inverters, Converters, Controllers and Interconnection System Equipment for Use with Distributed Energy Resources
	UL Subject 2579	Low-Voltage Fuses — Fuses for Photovoltaic Systems
	UL Subject 3703	Solar Trackers
	UL Subject 3730	Photovoltaic Junction Boxes
	UL 4703	Photovoltaic Wire
	UL 6703	Connectors for Use in Photovoltaic Systems
	UL Subject 6703A	Multi-Pole Connectors for Use in Photovoltaic Systems
	UL Subject 8703	Concentrator Photovoltaic Modules and Assemblies
	UL Subject 9703	Distributed Wiring Harnesses
	UL 62109-1	Power Converters for Use in Photovoltaic Power Systems — Part 1: General Requirements
	UL 3003	Distributed Generation Cables
	UL 61730-1	Photovoltaic (PV) Module Safety Qualification — Part 1: Requirements for Construction
	UL 61730-2	Photovoltaic (PV) Module Safety Qualification — Part 2: Requirements for Testing
	UL 3741	Photovoltaic Hazard Control
694	UL Subject 489C	Molded-Case Circuit Breakers and Molded-Case Switches for Use with Wind Turbines
	UL Subject 6140	Wind Turbine Generating Systems
	UL 6141	Wind Turbines Permitting Entry of Personnel
	UL 6142	Wind Turbine Generating Systems — Small
695	UL 218	Fire Pump Controllers
	UL 448	Centrifugal Stationary Pumps for Fire-Protection Service
	UL 448B	Residential Fire Pumps Intended for One- and Two-Family Dwellings and Manufactured Homes
	UL 448C	Stationary, Rotary-Type, Positive-Displacement Pumps for Fire Protection Service
	UL 1004-5	Fire Pump Motors
700	UL 924	Emergency Lighting and Power Equipment
	UL 1008	Transfer Switch Equipment
	UL 1008A	Medium-Voltage Transfer Switches
	UL 2200	Stationary Engine Generator Assemblies
706	UL 9540	Energy Storage Systems and Equipment
725	UL 5C	Surface Raceways and Fittings for Use with Data, Signal and Control Circuits
	UL 13	Power-Limited Circuit Cables
	UL 1012	Power Units Other Than Class 2
	UL 1310	Class 2 Power Units
	UL 1666	Test for Flame Propagation Height of Electrical and Optical-Fiber Cables Installed Vertically in Shafts
	UL 1685	Vertical-Tray Fire-Propagation and Smoke-Release Test for Electrical and Optical-Fiber Cables
	UL 5085-3	Low Voltage Transformers — Part 3: Class 2 and Class 3 Transformers
	UL Subject 9990	Information and Communication Technology (ICT) Power Cables
727	UL 2250	Instrumentation Tray Cable
728	UL Subject 1724	Fire Tests for Electrical Circuit Protective Systems
	UL 2196	Tests for Fire-Resistive Cables
750	UL 916	Energy Management Equipment
760	UL 268	Smoke Detectors for Fire Alarm Signaling Systems
	UL 268A	Smoke Detectors for Duct Application
	UL 497B	Protectors for Data Communication and Fire Alarm Circuits
	UL 1424	Cables for Power-Limited Fire-Alarm Circuits
	UL 1425	Cables for Non—Power-Limited Fire-Alarm Circuits
	UL 1480	Speakers for Fire Alarm and Signaling Systems, Including Accessories
770	UL 1651	Optical Fiber Cable
	UL 2024	Optical Fiber and Communication Cable Raceway
800	UL 444	Communications Cables
	UL 489A	Circuit Breakers for Use in Communication Equipment
	UL 497	Protectors for Paired-Conductor Communications Circuits
	UL 497A	Secondary Protectors for Communications Circuits
	UL 497C	Protectors for Coaxial Communications Circuits
	UL Subject 497E	Protectors for Antenna Lead-In Conductors
	UL Subject 523	Telephone Service Drop Wire
	UL 1863	Communication Circuit Accessories
810	UL 150	Antenna Rotators
	UL 452	Antenna-Discharge Units
820	UL 1655	Community-Antenna Television Cables

